Node Start,Node End,Stretch Length (km),Channel Type,Persistency Index (P_i),2024_03_09,2024_04_06,2024_04_20,2024_04_29,2024_05_04,2024_05_16,2024_05_29,2024_06_01,2024_06_03,2024_06_17,2024_06_29,2024_07_20,2024_07_24,2024_07_27,2024_07_29,2024_08_12,2024_08_21,2024_08_24,2024_08_26,2024_09_14,2024_09_18,2024_09_21,2024_09_23,2024_10_23,2024_11_23,2025_01_18,2025_04_05
11,g1,0.307969,Natural,1,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
12,g2,0.291042,Natural,0.9230769230769231,Active,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Active,Active,Active,Active,Active,Disconnected,Active,Active,Active,Active,Not enough information,Disconnected,Active,Active,Active,Disconnected,Active
13,g19,0.028048,Natural,1,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
14,g3,0.147765,Natural,0.7708333333333334,Not enough information,Active,Active,Not enough information,Active,Active,Active,Active,Active,Disconnected,Not enough information,Active,Active,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Active,Disconnected,Active,Active,Active
15,12,0.260967,Natural,0.9130434782608695,Not enough information,Not enough information,Active,Not enough information,Active,Active,Active,Active,Active,Disconnected,Active,Active,Active,Active,Active,Disconnected,Active,Active,Active,Active,Not enough information,Disconnected,Active,Active,Active,Disconnected,Active
16,11,0.676508,Natural,1,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
18,16,1.615515,Natural,1,Not enough information,Active,Not enough information,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
20,21,0.357581,Natural,0.4,Not enough information,Not enough information,Active,Active,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Not Active,Not Active,Not Active,Disconnected,Disconnected,Disconnected,Not Active,Disconnected,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,Disconnected,Active,Active
21,22,0.807023,Natural,0.48,Not enough information,Not enough information,Active,Active,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Not Active,Disconnected,Disconnected,Not Active,Not Active,Not Active,Not Active,Active,Not Active,Disconnected,Active,Active
22,g4,0.349628,Natural,0.6730769230769231,Not enough information,Active,Active,Active,Active,Active,Active,Active,Disconnected,Disconnected,Disconnected,Active,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Active
