,Node Start,Node End,Stretch Length (km),2024_03_09,2024_04_06,2024_04_20,2024_04_29,2024_05_04,2024_05_16,2024_05_29,2024_06_01,2024_06_03,2024_06_17,2024_06_29,2024_07_20,2024_07_24,2024_07_27,2024_07_29,2024_08_12,2024_08_21,2024_08_24,2024_08_26,2024_09_14,2024_09_18,2024_09_21,2024_09_23,2024_10_23,2024_11_23,2025_01_18,2025_04_05
0,11,g1,0.307969,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
1,12,g2,0.291042,Active,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Active,Active,Active,Active,Active,Disconnected,Active,Active,Active,Active,Not enough information,Disconnected,Active,Active,Active,Disconnected,Active
2,13,g19,0.028048,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
3,14,g3,0.147765,Not enough information,Active,Active,Not enough information,Active,Active,Active,Active,Active,Disconnected,Not enough information,Active,Active,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Active,Disconnected,Active,Active,Active
4,15,12,0.260967,Not enough information,Not enough information,Active,Not enough information,Active,Active,Active,Active,Active,Disconnected,Active,Active,Active,Active,Active,Disconnected,Active,Active,Active,Active,Not enough information,Disconnected,Active,Active,Active,Disconnected,Active
5,16,11,0.676508,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
6,18,16,1.615515,Not enough information,Active,Not enough information,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
7,20,21,0.357581,Not enough information,Not enough information,Active,Active,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Not Active,Not Active,Not Active,Disconnected,Disconnected,Disconnected,Not Active,Disconnected,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,Disconnected,Active,Active
8,21,22,0.807023,Not enough information,Not enough information,Active,Active,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Not Active,Disconnected,Disconnected,Not Active,Not Active,Not Active,Not Active,Active,Not Active,Disconnected,Active,Active
9,22,g4,0.349628,Not enough information,Active,Active,Active,Active,Active,Active,Active,Disconnected,Disconnected,Disconnected,Active,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Active
10,23,22,0.880284,Not enough information,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Active,Active,Disconnected,Disconnected,Not Active,Not Active,Active,Disconnected,Active,Active,Active
11,26,g4,0.220864,Not enough information,Active,Disconnected,Active,Active,Active,Active,Active,Disconnected,Disconnected,Disconnected,Active,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Active
12,27,28,0.19831,Active,Active,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Not Active,Not Active,Not Active,Disconnected,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Disconnected,Disconnected,Active
13,28,32,0.822097,Active,Active,Disconnected,Disconnected,Active,Active,Active,Active,Active,Disconnected,Active,Active,Disconnected,Disconnected,Not Active,Not Active,Disconnected,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Active,Active
14,29,27,0.36,Active,Active,Active,Disconnected,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Active
15,30,26,1.03605,Not enough information,Active,Disconnected,Active,Active,Disconnected,Active,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Active
16,31,30,0.33936,Not enough information,Active,Disconnected,Active,Active,Disconnected,Active,Disconnected,Disconnected,Not Active,Disconnected,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Disconnected,Not Active,Active
17,32,g5,0.943166,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Disconnected,Disconnected,Active,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Active
18,34,36,1.107535,Not enough information,Active,Not enough information,Not enough information,Active,Active,Disconnected,Disconnected,Active,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Disconnected,Disconnected,Active
19,35,g17,0.624723,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Active,Active,Active
20,36,g20,0.209746,Active,Active,Active,Active,Active,Active,Disconnected,Disconnected,Active,Active,Active,Active,Active,Disconnected,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Active,Active
